"category","revenue"
"Corporate",673.196
"Corporate",215.384
"Corporate",3883.098
"Corporate",1076.79
"Corporate",1546.604
"Corporate",3593.554
"Corporate",1024.04
"Corporate",173.04
"Corporate",3202.7295
"Corporate",527.645
"Corporate",869.755
"Corporate",2118.421
"Corporate",1426.296
"Corporate",2229.541
"Corporate",1784.921
"Corporate",570.144
"Corporate",4073.606
"Corporate",2676.03
"Corporate",3814.867
"Corporate",1218.666
"Corporate",556.804
"Corporate",1311.976
"Corporate",431.824
"Corporate",653.72
"Corporate",1073.524
"Corporate",749.022
"Corporate",216.786
"Corporate",339.096
"Corporate",1327.866
"Corporate",1855.304
"Corporate",433.23
"Corporate",714.71
"Corporate",681.13
"Corporate",4257.278
"Corporate",953.276
"Corporate",1226.454
"Corporate",13.2
"Corporate",1554.943
"Corporate",2357.888
"Corporate",2050.75
"Corporate",818.796
"Corporate",2586.438
"Corporate",6679.539
"Corporate",2631.03
"Corporate",1194.503
"Corporate",1358.3
"Corporate",1598.15
"Corporate",1216.397
"Corporate",1392.664
"Corporate",1880.791
"Corporate",4628.92
"Corporate",4167.288
"Corporate",660.028
"Corporate",93.07
"Corporate",377.98
"Corporate",287.16
"Corporate",36.92
"Corporate",192.668
"Corporate",1014.87
"Corporate",737.144
"Corporate",330.922
"Corporate",7528.574
"Corporate",1109.434
"Corporate",320.19
"Corporate",1543.567
"Corporate",3168.303
"Corporate",1635.4698
"Corporate",92.186
"Corporate",1766.054
"Corporate",2722.489
"Corporate",416.576
"Corporate",764.119
"Corporate",3404.13
"Corporate",580.244
"Corporate",625.432
"Corporate",1049.268
"Corporate",417.112
"Corporate",1925.498
"Corporate",3571.656
"Corporate",807.346
"Corporate",809.828
"Corporate",854.646
"Corporate",2489.692
"Corporate",1404.926
"Corporate",1951.5692
"Corporate",1544.238
"Corporate",2770.766
"Corporate",619.464
"Corporate",133.98
"Corporate",1018.999
"Corporate",1237.903
"Corporate",2397.862
"Corporate",1469.28
"Corporate",1885.908
"Corporate",2120.586
"Corporate",1865.096
"Corporate",1926.035
"Corporate",827.49
"Corporate",2529.771
"Corporate",1049.351
"Corporate",2158.61
"Corporate",4676.214
"Corporate",1577.336
"Corporate",3426.242
"Corporate",9.68
"Corporate",9249.007
"Corporate",959.984
"Corporate",1295.912
"Corporate",1219.535
"Corporate",2787.058
"Corporate",1704.7024
"Corporate",1516.938
"Corporate",1464.48
"Corporate",2702.197
"Corporate",93.8744
"Corporate",3433.3174
"Corporate",1127.66
"Corporate",1356.387
"Corporate",214.368
"Corporate",2128.942
"Corporate",778.59
"Corporate",2333.1328
"Corporate",1501.376
"Corporate",1303.787
"Corporate",5149.053
"Corporate",2792.02
"Corporate",1951.256
"Corporate",1623.044
"Corporate",150.32
"Corporate",3132.144
"Corporate",1401.43
"Corporate",1363.05
"Corporate",80.76
"Corporate",4443.598
"Corporate",2928.264
"Corporate",1916.505
"Corporate",526.756
"Corporate",2220.824
"Corporate",2517.132
"Corporate",944.326
"Corporate",1458.6
"Corporate",1011.299
"Corporate",3016.078
"Corporate",2688.583
"Corporate",3569.142
"Corporate",955.464
"Corporate",1402.302
"Corporate",1492.853
"Corporate",3141.225
"Corporate",263.876
"Corporate",1730.279
"Corporate",2703.803
"Corporate",39.316
"Corporate",1263.716
"Corporate",3722.078
"Corporate",1209.156
"Corporate",1804.604
"Corporate",2495.131
"Corporate",1152.338
"Corporate",1537.18
"Corporate",3306.424
"Corporate",6812.032
"Corporate",1763.404
"Corporate",3268.221
"Corporate",1005.091
"Corporate",630.281
"Corporate",1221.618
"Corporate",2035.01
"Corporate",115.619
"Corporate",2474.81
"Corporate",3855.813
"Corporate",2654.35
"Corporate",504.712
"Corporate",2114.621
"Corporate",1040.044
"Corporate",3078.484
"Corporate",1926.1
"Corporate",734.899
"Corporate",3641.896
"Corporate",1781.974
"Corporate",1400.144
"Corporate",1553.594
"Corporate",341.856
"Corporate",4943.69
"Corporate",651.952
"Corporate",4022.426
"Corporate",1539.272
"Corporate",955.405
"Corporate",1448.963
"Corporate",1192.926
"Corporate",3549.102
"Corporate",3834.519
"Corporate",390.183
"Corporate",4239.951
"Corporate",1337.6395
"Corporate",4.248
"Corporate",970.784
"Corporate",1091.286
"Corporate",904.882
"Corporate",1980.1245
"Corporate",3735.854
"Corporate",452.288
"Corporate",1020.67
"Corporate",1668.838
"Corporate",304.894
"Corporate",2006.039
"Corporate",4423.434
"Corporate",1618.628
"Corporate",445.383
"Corporate",1566.45
"Corporate",55.07
"Corporate",797.09
"Corporate",35.12
"Corporate",1188.43
"Corporate",6216.6974
"Corporate",100.774
"Corporate",1014.416
"Corporate",5246.592
"Corporate",1928.461
"Corporate",5349.886
"Corporate",2261.854
"Corporate",6891.518
"Corporate",259.08
"Corporate",1262.101
"Corporate",278.428
"Corporate",1351.152
"Corporate",1102.589
"Corporate",2244.566
"Corporate",1411.58
"Corporate",1781.579
"Corporate",2295.6165
"Corporate",4399.656
"Corporate",1411.12
"Corporate",763.976
"Corporate",1357.76
"Corporate",196.46
"Corporate",480.74
"Corporate",2121.856
"Corporate",781.308
"Corporate",1103.969
"Corporate",1566.921
"Corporate",2065.946
"Corporate",507.478
"Corporate",1898.6755
"Corporate",2272.5052
"Corporate",1689.548
"Corporate",575.135
"Corporate",1554.146
"Corporate",4027.902
"Corporate",4041.653
"Corporate",1125.971
"Corporate",4529.006
"Corporate",728.514
"Corporate",2647.143
"Corporate",1313.828
"Corporate",3530.222
"Corporate",700.054
"Corporate",1697.102
"Corporate",136.264
"Corporate",971.631
"Corporate",729.906
"Corporate",5494.764
"Corporate",367.08
"Corporate",1991.811
"Corporate",1526.702
"Corporate",3967.773
"Corporate",773.397
"Corporate",1084.628
"Corporate",3222.6085
"Corporate",565.5
"Corporate",1412.562
"Corporate",1273.66
"Corporate",1134.884
"Corporate",895.883
"Corporate",3041.449
"Corporate",9468.414
"Corporate",1967.738
"Corporate",4797.056
"Corporate",7453.238
"Corporate",3569.172
"Corporate",505.936
"Corporate",224.689
"Corporate",629.738
"Corporate",1355.6
"Corporate",840.4795
"Corporate",1081.726
"Corporate",3913.142
"Corporate",1471.572
"Corporate",263.366
"Corporate",1584.145
"Corporate",1883.328
"Corporate",727.196
"Corporate",4592.63
"Corporate",832.6
"Corporate",1474.35
"Corporate",1932.954
"Corporate",5200.968
"Corporate",1495.677
"Corporate",1282.908
"Corporate",1069.912
"Corporate",2595.528
"Corporate",2984.644
"Corporate",389.848
"Corporate",2212.9865
"Corporate",1493.794
"Corporate",1931.699
"Corporate",1700.85
"Corporate",2210.3552
"Corporate",2753.957
"Corporate",786.91
"Corporate",3560.331
"Corporate",1565.032
"Corporate",1547.657
"Corporate",1518.503
"Corporate",444.54
"Corporate",2575.032
"Corporate",1355.196
"Corporate",1237.988
"Corporate",1939.88
"Corporate",5400.442
"Corporate",646.372
"Corporate",1257.174
"Corporate",1.167
"Corporate",1751.999
"Corporate",1837.6
"Corporate",10.722
"Corporate",2527.526
"Corporate",1042.751
"Corporate",450.998
"Corporate",4919.5245
"Corporate",1855.344
"Corporate",732.286
"Corporate",1432.758
"Corporate",1500.0588
"Corporate",330.222
"Corporate",2032.2815
"Corporate",1324.681
"Corporate",3119.156
"Corporate",2255.909
"Corporate",1943.021
"Corporate",1237.1476
"Corporate",782.596
"Corporate",104.112
"Corporate",223.402
"Corporate",2293.699
"Corporate",1433.154
"Corporate",444.542
"Corporate",469.8
"Corporate",971.113
"Corporate",619.029
"Corporate",579.281
"Corporate",3383.318
"Corporate",1505.61
"Corporate",1858.392
"Corporate",753.07
"Corporate",622.538
"Corporate",7847.211
"Corporate",750.817
"Corporate",430.424
"Corporate",788.388
"Corporate",592.443
"Corporate",380.807
"Corporate",1828.321
"Corporate",1928.336
"Corporate",791.87
"Corporate",1148.124
"Corporate",718.068
"Corporate",1326.908
"Corporate",1114.904
"Corporate",3490.976
"Corporate",1650.422
"Corporate",957.93
"Corporate",491.638
"Corporate",580.246
"Corporate",1392.998
"Corporate",360.254
"Corporate",1663.612
"Corporate",5377.754
"Corporate",2577.551
"Corporate",1930.138
"Corporate",2598.779
"Corporate",1377.728
"Corporate",1728.696
"Corporate",1418.108
"Corporate",3176.942
"Corporate",1653.826
"Corporate",2777.757
"Corporate",1248.006
"Corporate",1543.62
"Corporate",2263.994
"Corporate",3785.958
"Corporate",225.978
"Corporate",1872.884
"Corporate",1414.616
"Corporate",1927.838
"Corporate",1215.022
"Corporate",6162.708
"Corporate",1674.192
"Corporate",3352.609
"Corporate",5128.171
"Corporate",781.96
"Corporate",1048.51
"Corporate",106.488
"Corporate",4578.058
"Corporate",1666.152
"Corporate",2395.2885
"Corporate",2785.388
"Corporate",3558.868
"Corporate",1584.13
"Corporate",2283.4
"Corporate",503.674
"Corporate",3033.941
"Corporate",1484.302
"Corporate",3062.346
"Corporate",3842.944
"Corporate",1289.896
"Corporate",1421.666
"Corporate",1043.525
"Corporate",541.918
"Corporate",457.596
"Corporate",1119.112
"Corporate",468.58
"Corporate",971.867
"Corporate",712.792
"Corporate",3326.297
"Corporate",1451.029
"Corporate",294.963
"Corporate",2372.8012
"Corporate",647.365
"Corporate",1868.182
"Corporate",896.326
"Corporate",42.31
"Corporate",2617.36
"Corporate",2162.212
"Corporate",940.904
"Corporate",1162.338
"Corporate",749.567
"Corporate",643.194
"Corporate",767.96
"Corporate",409.598
"Corporate",2013.548
"Corporate",129.768
"Corporate",1103.353
"Corporate",2169.876
"Corporate",2042.794
"Corporate",2056.666
"Corporate",630.582
"Corporate",4369.056
"Corporate",7975.552
"Corporate",2872.184
"Corporate",508.908
"Corporate",763.016
"Corporate",373.864
"Corporate",214.996
"Corporate",210.13
"Corporate",1112.66
"Corporate",1826.369
"Corporate",432.326
"Corporate",2238.116
"Corporate",945.192
"Corporate",502.41
"Corporate",4375.128
"Corporate",939.014
"Corporate",1341.273
"Corporate",3300.846
"Corporate",1061.024
"Corporate",1709.856
"Corporate",772.424
"Corporate",492.914
"Corporate",410.502
"Corporate",736.684
"Corporate",880.684
"Corporate",1410.523
"Corporate",721.946
"Corporate",1270.22
"Corporate",299.08
"Corporate",2006.396
"Corporate",2115.801
"Corporate",358.272
"Corporate",967.222
"Corporate",625.24
"Corporate",2040.82
"Corporate",2944.628
"Corporate",7090.363
"Corporate",1023.222
"Corporate",1682.101
"Corporate",3201.4764
"Corporate",123.472
"Corporate",678.778
"Corporate",176.984
"Corporate",2829.7082
"Corporate",1975.2408
"Corporate",911.348
"Corporate",630.492
"Corporate",901.878
"Corporate",1598.21
"Corporate",1817.076
"Corporate",164.318
"Corporate",1754.052
"Corporate",3092.406
"Corporate",2129.108
"Corporate",371.438
"Corporate",1600.898
"Corporate",591.472
"Corporate",159.624
"Corporate",3380.951
"Corporate",3347.102
"Corporate",33.652
"Corporate",3276.164
"Corporate",2177.0495
"Corporate",5255.656
"Corporate",6652.487
"Corporate",4569.321
"Corporate",5068.3
"Corporate",3373.582
"Corporate",620.7715
"Corporate",1339.082
"Corporate",816.65
"Corporate",336.99
"Corporate",3413.372
"Corporate",1475.989
"Corporate",252.544
"Corporate",2021.382
"Corporate",1619.629
"Corporate",713.303
"Corporate",75.356
"Corporate",2424.995
"Corporate",59.449
"Corporate",1615.596
"Corporate",571.747
"Corporate",1567.62
"Corporate",1693.64
"Corporate",4148.326
"Corporate",1150.889
"Corporate",2934.216
"Corporate",2343.565
"Corporate",1100.888
"Corporate",901.664
"Corporate",1335.904
"Corporate",369.204
"Corporate",1786.619
"Corporate",1720.576
"Corporate",1510.55
"Corporate",1960.955
"Corporate",913.244
"Corporate",1703.197
"Corporate",1582.682
"Corporate",1002.484
"Corporate",1695.58
"Corporate",2415.404
"Corporate",683.458
"Corporate",1096.888
"Corporate",1643.94
"Corporate",5677.025
"Corporate",6909.507
"Corporate",1972.917
"Corporate",3516.875
"Corporate",1677.676
"Corporate",1560.178
"Corporate",2986.683
"Corporate",2770.836
"Corporate",508.036
"Corporate",2053.06
"Corporate",467.602
"Corporate",1586.588
"Corporate",750.194
"Corporate",1541.633
"Corporate",3340.932
"Corporate",6158.83
"Corporate",3191.692
"Corporate",1588.703
"Corporate",10038.625
"Corporate",606.9468
"Corporate",980.428
"Corporate",4168.544
"Corporate",1878.244
"Corporate",197.712
"Corporate",522.588
"Corporate",672.145
"Corporate",1394.125
"Corporate",2452.498
"Corporate",2488.056
"Corporate",10037.671
"Corporate",2936.619
"Corporate",1809.128
"Corporate",472.668
"Corporate",455.6
"Corporate",459.165
"Corporate",535.082
"Corporate",3326.14
"Corporate",227.11
"Corporate",597.826
"Corporate",190.81
"Corporate",715.835
"Corporate",2375.504
"Corporate",470.994
"Corporate",225.4544
"Corporate",330.9
"Corporate",1615.854
"Corporate",573.242
"Corporate",1913.276
"Corporate",1328.488
"Corporate",3164.8205
"Corporate",666.485
"Corporate",1840.247
"Corporate",616.825
"Corporate",11337.858
"Corporate",574.676
"Corporate",1050.532
"Corporate",1716.234
"Corporate",902.146
"Corporate",3043.654
"Corporate",504.73
"Corporate",2039.078
"Corporate",1042.268
"Corporate",2759.518
"Corporate",1531.067
"Corporate",1788.672
"Corporate",1297.0988
"Corporate",2251.418
"Corporate",776.312
"Corporate",2091.188
"Corporate",1194.016
"Corporate",518.328
"Corporate",2031.626
"Corporate",521.882
"Corporate",96.768
"Corporate",1831.107
"Corporate",918.582
"Corporate",1167.616
"Corporate",1905.992
"Corporate",1743.48
"Corporate",849.602
"Corporate",4269.5375
"Corporate",2305.704
"Corporate",2384.45
"Corporate",2174.365
"Corporate",4054.95
"Corporate",2826.587
"Corporate",5221.3176
"Corporate",2129.517
"Corporate",2468.176
"Corporate",1799.187
"Corporate",650.484
"Corporate",1503.062
"Consumer",106.428
"Consumer",986.135
"Consumer",1407.566
"Consumer",3713.852
"Consumer",691.347
"Consumer",390.15
"Consumer",2976.506
"Consumer",706.776
"Consumer",964.208
"Consumer",20.606
"Consumer",697.718
"Consumer",251.444
"Consumer",914.59
"Consumer",3358.476
"Consumer",1879.638
"Consumer",3710.882
"Consumer",1554.5585
"Consumer",760.478
"Consumer",240.894
"Consumer",2888.578
"Consumer",3256.523
"Consumer",1895.648
"Consumer",12875.756
"Consumer",2985.43
"Consumer",899.8922
"Consumer",1169.788
"Consumer",4163.57
"Consumer",327.23
"Consumer",1411.988
"Consumer",1934.114
"Consumer",2941.494
"Consumer",754.876
"Consumer",263.658
"Consumer",761.283
"Consumer",772.124
"Consumer",1979.358
"Consumer",1746.726
"Consumer",2642.233
"Consumer",901.922
"Consumer",687.949
"Consumer",3934.827
"Consumer",1158.579
"Consumer",2470.493
"Consumer",1644.754
"Consumer",433.02
"Consumer",468.496
"Consumer",4377.396
"Consumer",395.812
"Consumer",1294.006
"Consumer",1097.5705
"Consumer",1354.131
"Consumer",1757.826
"Consumer",2720.36
"Consumer",120.434
"Consumer",1780.629
"Consumer",497.064
"Consumer",758.04
"Consumer",1886.767
"Consumer",5501.139
"Consumer",34.12
"Consumer",1912.74
"Consumer",175.517
"Consumer",1230.47
"Consumer",16.088
"Consumer",754.734
"Consumer",1123.428
"Consumer",648.144
"Consumer",1326.2
"Consumer",881.014
"Consumer",3346.17
"Consumer",2281.534
"Consumer",411.882
"Consumer",635.813
"Consumer",1431.456
"Consumer",858.848
"Consumer",2954.388
"Consumer",2398.65
"Consumer",743.873
"Consumer",572.266
"Consumer",577.294
"Consumer",256.4
"Consumer",712.234
"Consumer",2061.8426
"Consumer",1480.6465
"Consumer",1804.619
"Consumer",2139.916
"Consumer",1107.5756
"Consumer",4064.043
"Consumer",3356.966
"Consumer",1347.124
"Consumer",5258.557
"Consumer",1731.801
"Consumer",658.258
"Consumer",799.8
"Consumer",570.566
"Consumer",5376.4
"Consumer",4825.401
"Consumer",5080.6
"Consumer",1433.4495
"Consumer",2623.411
"Consumer",558.452
"Consumer",584.985
"Consumer",3383.065
"Consumer",814.304
"Consumer",888.925
"Consumer",94.512
"Consumer",116.72
"Consumer",2560.684
"Consumer",970.83
"Consumer",794.936
"Consumer",492.644
"Consumer",1457.788
"Consumer",3217.09
"Consumer",1324.124
"Consumer",1108.212
"Consumer",762.266
"Consumer",2985.794
"Consumer",4381.76
"Consumer",2694.21
"Consumer",114.68
"Consumer",1461.063
"Consumer",1741.795
"Consumer",1167.489
"Consumer",1725.407
"Consumer",1715.558
"Consumer",1300.76
"Consumer",5021.9168
"Consumer",3424.772
"Consumer",1522.066
"Consumer",1605.509
"Consumer",2313.428
"Consumer",652.336
"Consumer",2166.846
"Consumer",729.552
"Consumer",7513.988
"Consumer",237.276
"Consumer",2004.604
"Consumer",3506.021
"Consumer",520.46
"Consumer",1954.185
"Consumer",3025.485
"Consumer",8756.84
"Consumer",1198.452
"Consumer",1251.194
"Consumer",2700.442
"Consumer",7172.976
"Consumer",505.798
"Consumer",697.464
